number,priority,category,assignment_group,updated_by
INC0443565,1,,,system
INC0442643,1,,,system
INC0441561,0,,,system
INC0441573,1,,,system
INC0441560,0,,,system
INC0444508,1,,,system
INC0440376,1,,,system
INC0442642,1,,,system
INC0439666,1,,,system
INC0442100,1,,,system
INC0401907,0,Failure,,system
INC0444505,1,,,system
INC0444503,1,,,system
INC0439664,1,,,system
INC0440758,1,,,system
INC0445355,1,,,system
INC0439660,1,,,system
INC0439621,1,,,system
INC0440375,1,,,system
INC0442675,1,,,system
INC0443566,1,,,system
INC0441559,0,,,system
INC0444591,1,,,system
INC0447013,1,,,system
INC0443522,0,,,system
INC0443520,0,,,system
INC0440378,1,,,system
INC0441570,1,,,system
INC0401910,1,,,system
INC0441565,1,,,system
INC0444590,0,,,system
INC0444509,1,,,system
INC0441572,1,,,system
INC0447015,1,,,system
INC0443568,1,,,system
INC0444502,1,,,system
INC0440760,1,,,system
INC0440461,1,,,system
INC0444501,1,,,system
INC0443452,1,,,system
INC0444096,1,,,system
INC0441568,1,,,system
INC0440379,1,,,system
INC0445298,1,,,system
INC0447377,1,,,system
INC0443083,1,,,system
INC0440105,1,,,system
INC0441571,1,,,system
INC0442641,1,,,system
INC0444504,1,,,system
INC0442639,1,,,system
INC0444499,1,,,system
INC0440372,0,,,system
INC0439617,1,,,system
INC0440460,1,,,system
INC0446462,0,,,system
INC0439619,1,,,system
INC0444500,1,,,system
INC0443451,1,,,system
INC0445351,1,,,system
INC0440759,1,,,system
INC0444383,1,,,system
INC0443453,1,,,system
INC0447445,1,,,system
INC0445354,1,,,system
INC0401908,1,,,system
INC0440459,1,,,system
INC0443567,1,,,system
INC0439661,1,,,system
INC0440381,1,,,system
INC0439618,1,,,system
INC0442098,1,,,system
INC0445352,1,,,system
INC0443442,1,,,system
INC0444507,1,,,system
INC0440757,1,,,system
INC0447376,1,,,system
INC0443074,0,,,system
INC0442638,1,,,system
INC0439616,1,,,system
INC0443521,0,,,system
INC0441567,1,,,system
INC0446473,1,,,system
INC0440762,1,,,system
INC0440458,1,,,system
INC0440761,1,,,system
INC0442091,1,,,system
INC0444378,0,,,system
INC0442092,1,,,system
INC0444506,1,,,system
INC0401906,1,,,system
INC0401909,1,,,system
INC0399879,1,Failure,AIS CSI,system
INC0446758,0,Failure,AIS CSI,system
INC0418411,1,Failure,AIS CSI,system
INC0447091,1,Failure,AIS CSI,system
INC0420584,0,Failure,AIS CSI,system
INC0420087,1,Business Application,AIS CSI,system
INC0394742,1,Change/Enhancements,AIS CSI,system
INC0419722,1,Failure,AIS CSI,system
INC0433599,1,Failure,AIS CSI,system
INC0446227,1,Failure,AIS CSI,system
INC0414765,0,Failure,AIS CSI,system
INC0413406,1,Business Application,AIS CSI,system
INC0412984,1,Service,AIS CSI,system
INC0410421,1,Failure,AIS CSI,system
INC0435170,1,Failure,AIS CSI,system
INC0427397,1,Failure,AIS CSI,system
INC0413460,1,Service,AIS CSI,BrunoG
INC0451065,0,Failure,AIS CSI,system
INC0420275,1,Service,AIS CSI,system
INC0429803,1,Service,AIS CSI,ERI300909
INC0404269,0,Failure,AIS CSI,system
INC0419119,0,Failure,AIS CSI,system
INC0442014,1,Failure,AIS CSI,system
INC0419796,1,Service,AIS CSI,ERI300909
INC0431772,1,Failure,AIS CSI,system
INC0418328,1,Service,AIS CSI,system
INC0451442,1,Service,AIS CSI,system
INC0438354,1,Service,AIS CSI,system
INC0405818,1,Failure,AIS CSI,system
INC0420907,0,Service,AIS CSI,system
INC0428503,1,Service,AIS CSI,system
INC0410053,1,Service,AIS CSI,system
