number,config_item,location,child_incidents,channel,reassignment_count
INC0443565,Vulnerability Remediation,,0,Self-service,0
INC0442643,Vulnerability Remediation,,0,Self-service,0
INC0441561,Vulnerability Remediation,,0,Self-service,0
INC0441573,Vulnerability Remediation,,0,Self-service,0
INC0441560,Vulnerability Remediation,,0,Self-service,0
INC0444508,Vulnerability Remediation,,0,Self-service,0
INC0440376,Vulnerability Remediation,,0,Self-service,0
INC0442642,Vulnerability Remediation,,0,Self-service,0
INC0439666,Vulnerability Remediation,,0,Self-service,0
INC0442100,Vulnerability Remediation,,0,Self-service,0
INC0401907,Vulnerability Remediation,,0,Self-service,0
INC0444505,Vulnerability Remediation,,0,Self-service,0
INC0444503,Vulnerability Remediation,,0,Self-service,0
INC0439664,Vulnerability Remediation,,0,Self-service,0
INC0440758,Vulnerability Remediation,,0,Self-service,0
INC0445355,Vulnerability Remediation,,0,Self-service,0
INC0439660,Vulnerability Remediation,,0,Self-service,0
INC0439621,Vulnerability Remediation,,0,Self-service,0
INC0440375,Vulnerability Remediation,,0,Self-service,0
INC0442675,Vulnerability Remediation,,0,Self-service,0
INC0443566,Vulnerability Remediation,,0,Self-service,0
INC0441559,Vulnerability Remediation,,0,Self-service,0
INC0444591,Vulnerability Remediation,,0,Self-service,0
INC0447013,Vulnerability Remediation,,0,Self-service,0
INC0443522,Vulnerability Remediation,,0,Self-service,0
INC0443520,Vulnerability Remediation,,0,Self-service,0
INC0440378,Vulnerability Remediation,,0,Self-service,0
INC0441570,Vulnerability Remediation,,0,Self-service,0
INC0401910,Vulnerability Remediation,,0,Self-service,0
INC0441565,Vulnerability Remediation,,0,Self-service,0
INC0444590,Vulnerability Remediation,,0,Self-service,0
INC0444509,Vulnerability Remediation,,0,Self-service,0
INC0441572,Vulnerability Remediation,,0,Self-service,0
INC0447015,Vulnerability Remediation,,0,Self-service,0
INC0443568,Vulnerability Remediation,,0,Self-service,0
INC0444502,Vulnerability Remediation,,0,Self-service,0
INC0440760,Vulnerability Remediation,,0,Self-service,0
INC0440461,Vulnerability Remediation,,0,Self-service,0
INC0444501,Vulnerability Remediation,,0,Self-service,0
INC0443452,Vulnerability Remediation,,0,Self-service,0
INC0444096,Vulnerability Remediation,,0,Self-service,0
INC0441568,Vulnerability Remediation,,0,Self-service,0
INC0440379,Vulnerability Remediation,,0,Self-service,0
INC0445298,Vulnerability Remediation,,0,Self-service,0
INC0447377,Vulnerability Remediation,,0,Self-service,0
INC0443083,Vulnerability Remediation,,0,Self-service,0
INC0440105,Vulnerability Remediation,,0,Self-service,0
INC0441571,Vulnerability Remediation,,0,Self-service,0
INC0442641,Vulnerability Remediation,,0,Self-service,0
INC0444504,Vulnerability Remediation,,0,Self-service,0
INC0442639,Vulnerability Remediation,,0,Self-service,0
INC0444499,Vulnerability Remediation,,0,Self-service,0
INC0440372,Vulnerability Remediation,,0,Self-service,0
INC0439617,Vulnerability Remediation,,0,Self-service,0
INC0440460,Vulnerability Remediation,,0,Self-service,0
INC0446462,Vulnerability Remediation,,0,Self-service,0
INC0439619,Vulnerability Remediation,,0,Self-service,0
INC0444500,Vulnerability Remediation,,0,Self-service,0
INC0443451,Vulnerability Remediation,,0,Self-service,0
INC0445351,Vulnerability Remediation,,0,Self-service,0
INC0440759,Vulnerability Remediation,,0,Self-service,0
INC0444383,Vulnerability Remediation,,0,Self-service,0
INC0443453,Vulnerability Remediation,,0,Self-service,0
INC0447445,Vulnerability Remediation,,0,Self-service,0
INC0445354,Vulnerability Remediation,,0,Self-service,0
INC0401908,Vulnerability Remediation,,0,Self-service,0
INC0440459,Vulnerability Remediation,,0,Self-service,0
INC0443567,Vulnerability Remediation,,0,Self-service,0
INC0439661,Vulnerability Remediation,,0,Self-service,0
INC0440381,Vulnerability Remediation,,0,Self-service,0
INC0439618,Vulnerability Remediation,,0,Self-service,0
INC0442098,Vulnerability Remediation,,0,Self-service,0
INC0445352,Vulnerability Remediation,,0,Self-service,0
INC0443442,Vulnerability Remediation,,0,Self-service,0
INC0444507,Vulnerability Remediation,,0,Self-service,0
INC0440757,Vulnerability Remediation,,0,Self-service,0
INC0447376,Vulnerability Remediation,,0,Self-service,0
INC0443074,Vulnerability Remediation,,0,Self-service,0
INC0442638,Vulnerability Remediation,,0,Self-service,0
INC0439616,Vulnerability Remediation,,0,Self-service,0
INC0443521,Vulnerability Remediation,,0,Self-service,0
INC0441567,Vulnerability Remediation,,0,Self-service,0
INC0446473,Vulnerability Remediation,,0,Self-service,0
INC0440762,Vulnerability Remediation,,0,Self-service,0
INC0440458,Vulnerability Remediation,,0,Self-service,0
INC0440761,Vulnerability Remediation,,0,Self-service,0
INC0442091,Vulnerability Remediation,,0,Self-service,0
INC0444378,Vulnerability Remediation,,0,Self-service,0
INC0442092,Vulnerability Remediation,,0,Self-service,0
INC0444506,Vulnerability Remediation,,0,Self-service,0
INC0401906,Vulnerability Remediation,,0,Self-service,0
INC0401909,Vulnerability Remediation,,0,Self-service,0
INC0399879,Invision Registration,BHSF Corporate,0,Email,2
INC0446758,WZ9C2DCD1FAD25,Boca Raton Regional Hospital,0,Phone,2
INC0418411,WZ5405DB0F31B6,BHSF Corporate,0,Self-service,3
INC0447091,wm0b274676ae22,BHSF Corporate,0,Phone,3
INC0420584,DDMSEPODB2,BHSF Corporate,0,Email,0
INC0420087,printsvr,BHSF Corporate,0,Self-service,1
INC0394742,Active Directory Domain Services,Corporate,0,Email,0
INC0419722,faxserver,Boca Raton Regional Hospital,0,Chat,0
INC0433599,Citrix,Baptist Outpatient Services,0,Phone,5
INC0446227,Hardware Issue,Baptist Health South Florida,0,Self-service,0
INC0414765,Server Support,BHSF Corporate,0,Email,0
INC0413406,PHBBG37520 - Laserjet Pro M406DN,BHSF Corporate,0,Self-service,4
INC0412984,Hardware Evaluation,BHSF Corporate,0,Email,0
INC0410421,Hardware Support,Davie Baptist Medical Plaza,0,Phone,4
INC0435170,WZ002324C5070E,BHSF Corporate,0,Email,0
INC0427397,TMS Boca,BHSF Corporate,0,Self-service,2
